"url"|"title"|"body"
"https://cand.com.vn/ban-doc-cand/du-am-va-nhung-cau-hoi-sau-tran-lu-lut-lich-su-tai-dong-dak-lak-i790381/"|"ERROR: cannot extract title"|"ERROR: cannot extract body"
"https://doanhnghiepvn.vn/kinh-te/gia-nong-san-ngay-8-12-2025-ca-phe-va-ho-tieu-dung-gia/20251208090708721"|"ERROR: selector not found"|"ERROR: selector not found"
"http://congan.com.vn/doi-song/toan-dan-phong-chay-chua-chay/xuc-dong-la-thu-cam-on-cua-nu-sinh-gui-chien-si-pccccnch-tphcm-sau-hanh-dong-phi-thuong_186567.html"|"ERROR: selector not found"|"ERROR: selector not found"
